         18501500 function calls (16703748 primitive calls) in 629.123 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amax)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amin)
       56    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
       16    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_1d)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_arrays)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(column_stack)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diff)
       58    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
       16    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(hstack)
        4    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(isclose)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unravel_index)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        1    0.004    0.004  629.123  629.123 <string>:1(<module>)
       54    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1107(winfo_toplevel)
       33    0.000    0.000    0.001    0.000 __init__.py:1195(_bind)
       33    0.000    0.000    0.001    0.000 __init__.py:1212(bind)
        1    0.000    0.000    0.000    0.000 __init__.py:1250(use)
       26    0.000    0.000    0.001    0.000 __init__.py:1315(_options)
        1    0.000    0.000    0.000    0.000 __init__.py:1320(get_backend)
       18    0.000    0.000    0.000    0.000 __init__.py:1340(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1340(nametowidget)
       41    0.000    0.000    0.001    0.000 __init__.py:1357(_register)
        6    0.000    0.000    0.000    0.000 __init__.py:1373(is_math_text)
        2    0.000    0.000    0.000    0.000 __init__.py:1379(_root)
       23    0.000    0.000    0.000    0.000 __init__.py:1382(_to_unmasked_float_array)
       20    0.000    0.000    0.000    0.000 __init__.py:143(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1466(_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:1478(configure)
       10    0.000    0.000    0.000    0.000 __init__.py:163(connect)
        6    0.000    0.000    0.000    0.000 __init__.py:1645(<lambda>)
       12    0.000    0.000    0.001    0.000 __init__.py:1680(safe_first_element)
       41    0.000    0.000    0.000    0.000 __init__.py:1695(__init__)
       71    0.002    0.000    0.004    0.000 __init__.py:1702(normalize_kwargs)
       71    0.000    0.000    0.000    0.000 __init__.py:1789(<listcomp>)
       71    0.000    0.000    0.000    0.000 __init__.py:1794(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:180(_remove_proxy)
        1    0.000    0.000    0.000    0.000 __init__.py:1838(wm_geometry)
        1    0.000    0.000    0.000    0.000 __init__.py:1887(wm_iconphoto)
        5    0.000    0.000    0.000    0.000 __init__.py:1935(_str_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:1956(wm_protocol)
        1    0.000    0.000    0.000    0.000 __init__.py:1983(wm_title)
        2    0.000    0.000    0.000    0.000 __init__.py:1992(wm_withdraw)
        1    0.000    0.000    0.105    0.105 __init__.py:2003(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2033(_loadtk)
      220    0.001    0.000    0.002    0.000 __init__.py:2041(_setattr_cm)
      110    0.000    0.000    0.000    0.000 __init__.py:2046(<listcomp>)
       30    0.000    0.000    0.000    0.000 __init__.py:205(process)
        1    0.000    0.000    0.000    0.000 __init__.py:2067(readprofile)
        1    0.000    0.000    0.000    0.000 __init__.py:2082(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:21(get_projection_class)
       12    0.000    0.000    0.000    0.000 __init__.py:2125(pack_configure)
      200    0.000    0.000    0.001    0.000 __init__.py:2180(_check_in_list)
       12    0.000    0.000    0.000    0.000 __init__.py:2253(_setup)
       12    0.000    0.000    0.022    0.002 __init__.py:2286(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:2295(<listcomp>)
        7    0.000    0.000    0.019    0.003 __init__.py:2350(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:2395(__init__)
        1    0.000    0.000    0.020    0.020 __init__.py:2470(_create)
        1    0.000    0.000    0.020    0.020 __init__.py:2487(create_image)
        3    0.000    0.000    0.001    0.000 __init__.py:2730(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2748(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:299(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:342(set)
        9    0.000    0.000    0.004    0.000 __init__.py:3484(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:3503(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:3504(__del__)
        9    0.000    0.000    0.004    0.000 __init__.py:3540(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:470(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:48(get_projection_class)
        2    0.000    0.000    0.000    0.000 __init__.py:662(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:677(focus_set)
        2    0.000    0.000    0.000    0.000 __init__.py:690(push)
        7    0.000    0.000    0.000    0.000 __init__.py:715(clear)
        1    0.000    0.000    0.000    0.000 __init__.py:720(bubble)
        3    0.000    0.000    0.000    0.000 __init__.py:76(__init__)
     1000    0.001    0.000    0.001    0.000 __init__.py:811(__getitem__)
        6    0.000    0.000    0.000    0.000 __init__.py:85(__hash__)
        2    0.000    0.000    0.000    0.000 __init__.py:913(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:914(<dictcomp>)
       10    0.000    0.000    0.000    0.000 __init__.py:919(clean)
       10    0.000    0.000    0.000    0.000 __init__.py:922(<listcomp>)
       39    0.000    0.000    0.000    0.000 __init__.py:96(_cnfmerge)
        8    0.000    0.000    0.000    0.000 __init__.py:968(get_siblings)
        8    0.000    0.000    0.000    0.000 __init__.py:972(<listcomp>)
      123    0.000    0.000    0.001    0.000 _asarray.py:16(asarray)
       76    0.000    0.000    0.000    0.000 _asarray.py:88(asanyarray)
        1    0.000    0.000    0.025    0.025 _backend_tk.py:195(__init__)
        6    0.000    0.000    0.000    0.000 _backend_tk.py:27(_restore_foreground_window_at_end)
        1    0.000    0.000    0.023    0.023 _backend_tk.py:490(__init__)
        1    0.000    0.000    0.023    0.023 _backend_tk.py:515(_get_toolbar)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:524(_get_toolmanager)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:531(resize)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:570(set_window_title)
        1    0.000    0.000    0.023    0.023 _backend_tk.py:588(__init__)
        7    0.000    0.000    0.021    0.003 _backend_tk.py:620(_Button)
        2    0.000    0.000    0.001    0.000 _backend_tk.py:630(_Spacer)
        1    0.000    0.000    0.023    0.023 _backend_tk.py:637(_init_toolbar)
